24.9943	0
29.5552	2
33.3378	1
31.9219	2
35.4744	2
31.2205	1
33.8857	2
29.9225	1
31.0573	2
29.7391	1
30.2845	1
30.9341	1
27.9497	1
27.2487	0
23.8006	0
24.3418	1
28.4859	1
26.5316	0
24.8607	0
24.4615	0
25.6983	0
25.8062	0
28.8194	1
32.712	3
41.3183	4
39.1562	2
41.1084	3
40.0359	2
39.8555	4
39.7427	2
37.0639	5
36.2872	2
39.8433	3
36.663	1
38.0643	2
37.5491	2
39.8555	2
39.7586	2
35.082	3
33.7508	1
36.3799	2
35.4873	2
39.795	2
32.9357	1
32.0981	2
34.8704	3
37.6642	2
34.3013	1
34.6515	2
36.0006	2
30.1537	1
34.815	1
34.0027	1
30.0947	1
30.333	1
34.5142	2
31.3078	2
31.8338	1
28.4679	0
30.6384	0
25.7631	1
26.9131	1
25.587	0
23.7266	0
29.2976	2
30.8059	1
33.5747	1
33.7113	1
36.4495	1
34.573	1
32.356	0
29.3559	0
23.3177	0
24.7924	0
24.5006	0
27.8139	2
34.5057	3
35.0838	3
31.5956	1
24.3241	0
23.2914	0
24.9093	0
21.8281	0
