52	0.686649	0.120989
61	0.703855	0.0413111
232	0.643193	0.111885
110	0.588101	0.0432743
109	0.61268	0.0359541
7	0.473504	0.00106495
51	0.495042	0.0146601
49	0.656484	0.0120568
10	0.474189	0.00752851
65	0.293667	0.0155265
18	0.595695	0.200949
26	0.267443	0.150046
63	0.224087	0.422348
125	0.664108	0.0349916
80	0.636055	0.0179796
175	0.576708	0.0291171
37	0.431042	0.00563591
33	0.232754	0.0452368
63	0.495636	0.0110716
8	0.560045	0.00832251
129	0.282632	0.0200538
32	0.351317	0.00659774
8	0.59877	0.0212251
32	0.695477	0.0867929
50	0.318353	0.00764143
43	0.629562	0.00647631
125	0.287406	0.0172818
9	0.207948	0.00698372
81	0.436122	0.012372
129	0.29268	0.0156355
91	0.443459	0.0116734
46	0.606156	0.00548607
154	0.624008	0.0164551
136	0.695451	0.0135003
16	0.400686	0.00299948
24	0.407737	0.00354485
167	0.592255	0.0151539
63	0.498044	0.0061402
15	0.591149	0.00720337
163	0.654213	0.013649
85	0.558103	0.00797927
6	0.530686	0.00123515
20	0.547589	0.00265148
118	0.611288	0.00946099
37	0.482647	0.00261835
45	0.593095	0.00334029
7	0.560217	0.00296052
29	0.586287	0.00186752
55	0.4371	0.0044995
7	0.489576	0.0011983
44	0.574555	0.00310913
47	0.594351	0.00334995
102	0.678233	0.00792802
72	0.50303	0.00568777
108	0.586659	0.00761138
41	0.498204	0.00260353
6	0.584843	0.000933943
104	0.603688	0.00702717
20	0.383522	0.00199786
6	0.464145	0.00241465
55	0.421612	0.00374535
100	0.571061	0.00654406
42	0.515342	0.00243792
56	0.503123	0.00361778
61	0.564704	0.00389389
37	0.49909	0.00192467
83	0.66267	0.00528243
41	0.555751	0.0021297
15	0.135665	0.000609344
38	0.606729	0.00188845
75	0.642473	0.00443901
128	0.69543	0.00646709
75	0.641817	0.00414243
88	0.632821	0.00448461
56	0.664725	0.00271403
114	0.74384	0.00763227
202	0.652869	0.00905238
